N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
157,현대두산인프라코어,"9,360",10,-0.11%,"1,000","18,511","197,763",14.57,"4,202,829",4.02,24.63,
158,오뚜기,"453,000","6,000",-1.31%,"5,000","18,155","4,008",11.44,"3,927",11.66,8.91,
159,TIGER 미국S&P500,"13,190",50,-0.38%,0,"18,103","137,250",0.43,"493,059",N/A,N/A,
160,솔루스첨단소재,"50,300","3,350",+7.14%,100,"17,661","35,111",5.82,"841,798","-1,143.18",4.00,
161,하이트진로,"25,150",250,-0.98%,"5,000","17,639","70,134",13.02,"173,081",15.52,6.62,
162,LIG넥스원,"74,700",0,0.00%,"5,000","16,434","22,000",12.27,"198,538",8.96,14.63,
163,쌍용차,"8,760",0,0.00%,"5,000","16,377","186,956",24.60,0,-2.47,305.77,
164,LX세미콘,"97,500","3,700",+3.94%,500,"15,858","16,264",29.10,"328,698",5.48,44.49,
165,롯데칠성,"170,000","1,800",-1.05%,500,"15,774","9,279",12.30,"14,733",14.34,9.96,
166,롯데정밀화학,"61,000","1,500",+2.52%,"5,000","15,738","25,800",20.26,"115,452",5.12,30.43,
167,TIGER 미국필라델피아반도체나스닥,"10,370",55,-0.53%,0,"15,679","151,200",0.84,"444,591",N/A,N/A,
168,한전KPS,"34,000",250,+0.74%,200,"15,300","45,000",6.27,"84,854",23.34,9.12,
169,현대위아,"55,300",300,+0.55%,"5,000","15,039","27,195",10.24,"90,051",7.34,1.96,
170,한미반도체,"15,400",110,+0.72%,100,"14,990","97,339",5.67,"620,727",12.20,34.59,
171,LS ELECTRIC,"49,900",0,0.00%,"5,000","14,970","30,000",13.43,"117,425",15.26,5.86,
172,효성,"70,300",700,+1.01%,"5,000","14,813","21,071",4.74,"37,994",12.74,18.04,
173,TIGER 미국테크TOP10 INDXX,"9,830",50,-0.51%,0,"14,740","149,950",0.26,"306,374",N/A,N/A,
174,아이에스동서,"47,300",100,+0.21%,500,"14,612","30,893",4.35,"804,619",5.85,8.69,
175,녹십자,"124,900",100,-0.08%,"5,000","14,596","11,687",21.71,"18,915",13.45,10.30,
176,두산,"88,200","2,400",+2.80%,"5,000","14,574","16,524",7.46,"129,522",-17.81,11.08,
177,동국제강,"15,270",70,+0.46%,"5,000","14,573","95,433",26.09,"1,474,772",1.99,23.41,
178,대웅제약,"123,600",400,+0.32%,"2,500","14,321","11,587",6.56,"75,027",17.41,4.39,
179,SK케미칼,"82,900",400,-0.48%,"5,000","14,303","17,254",15.46,"32,053",7.78,11.19,
180,DL이앤씨,"35,750",950,+2.73%,"5,000","13,833","38,694",21.95,"274,537",3.18,N/A,
181,현대일렉트릭,"38,300",300,-0.78%,"5,000","13,806","36,047",15.63,"149,999",28.12,-5.08,
182,덴티움,"123,900","5,400",-4.18%,500,"13,714","11,069",26.30,"129,215",14.45,21.29,
183,TIGER 2차전지테마,"22,400",645,+2.96%,0,"13,373","59,700",0.37,"2,382,400",N/A,N/A,
184,DGB금융지주,"7,840",100,+1.29%,"5,000","13,261","169,146",46.25,"455,873",2.76,9.63,
185,코오롱인더,"48,050","1,250",+2.67%,"5,000","13,223","27,519",18.60,"147,716",8.79,8.20,
186,현대백화점,"56,300",900,-1.57%,"5,000","13,176","23,402",24.29,"152,424",6.27,4.36,
187,후성,"13,840",160,+1.17%,500,"13,058","94,352",5.49,"2,074,548",18.00,9.61,
188,한국앤컴퍼니,"13,580",20,-0.15%,500,"12,892","94,935",9.19,"51,342",5.38,5.53,
189,KODEX 2차전지산업,"23,100",735,+3.29%,0,"12,890","55,800",0.96,"2,761,548",N/A,N/A,
190,코스모화학,"36,700","1,300",-3.42%,"1,000","12,848","35,008",8.44,"1,763,455",112.23,7.89,
191,제주항공,"16,600",240,-1.43%,"1,000","12,781","76,994",3.01,"410,680",-3.98,-135.83,
192,LX인터내셔널,"32,900",200,+0.61%,"5,000","12,752","38,760",31.33,"123,205",2.15,22.49,
193,KODEX 단기채권PLUS,"105,660",5,0.00%,0,"12,746","12,063",0.00,"57,205",N/A,N/A,
194,GKL,"20,550",400,-1.91%,500,"12,711","61,856",6.87,"510,398",-26.38,-26.04,
195,DL,"60,300","1,200",+2.03%,"5,000","12,636","20,956",10.41,"86,822",34.05,26.52,
196,KODEX 삼성그룹,"9,145",50,-0.54%,0,"12,538","137,100",0.07,"151,228",N/A,N/A,
197,에스엘,"26,900",550,+2.09%,500,"12,495","46,449",13.61,"141,500",10.12,6.63,
198,KBSTAR 200,"32,765",45,-0.14%,0,"12,270","37,450",0.00,"284,141",N/A,N/A,
199,영풍,"657,000","2,000",-0.30%,"5,000","12,102","1,842",5.61,"4,036",5.39,3.66,
200,대한유화,"184,200","14,700",+8.67%,"5,000","11,973","6,500",5.74,"201,969",-15.91,7.64,
